scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,grounded_claim_count
SC-C-05,profile_only,profile_dialogue_conflict,medium,low,medium,0.778957320150241,0.8000000000000002,2.2,0.8000000000000002,0.20000000000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24.427666666666667,0.0,0.75,20.0
SC-D-01,full,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,17.038,1.0,1.0,26.0
SC-D-01,no_context,preference_change,medium,high,high,0.8304198973631921,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,21.832333333333334,0.0,0.75,26.0
SC-D-01,no_memory,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,0.7383333333333333,0.0,0.0,0.0
SC-D-01,one_shot,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,1.0130000000000001,0.0,0.0,0.0
SC-D-01,profile_only,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.637333333333334,1.0,1.0,22.0
SC-D-02,full,preference_change,medium,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,20.435333333333332,1.0,1.0,31.0
SC-D-02,no_context,preference_change,medium,high,medium,0.8687949224876581,0.8000000000000002,1.6000000000000003,0.8000000000000002,0.20000000000000004,0.10000000000000002,0.0,1.0,1.0,1.0,1.0,2.0,24.839333333333332,0.0,0.75,28.0
SC-D-02,no_memory,preference_change,medium,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,20.78833333333333,1.0,1.0,29.0
SC-D-02,one_shot,preference_change,medium,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.880666666666666,1.0,1.0,29.0
SC-D-02,profile_only,preference_change,medium,high,medium,0.8539316501572934,0.8000000000000002,1.6000000000000003,0.8000000000000002,0.20000000000000004,0.0,0.0,1.0,1.0,1.0,1.0,2.0,21.638666666666666,0.0,0.75,26.0
SC-D-03,full,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,17.411666666666665,1.0,1.0,26.0
SC-D-03,no_context,preference_change,hard,high,high,0.7227265726449517,0.6,1.8,0.6,0.6,0.10000000000000002,0.4000000000000001,1.0,1.0,1.0,1.0,2.0,22.055333333333333,0.0,0.75,25.0
SC-D-03,no_memory,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.559,1.0,1.0,21.0
SC-D-03,one_shot,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.773,1.0,1.0,21.0
SC-D-03,profile_only,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.034333333333333,1.0,1.0,21.0
SC-D-04,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,20.159333333333333,1.0,1.0,28.0
SC-D-04,no_context,preference_change,medium,high,medium,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,26.24266666666667,0.0,0.75,28.0
SC-D-04,no_memory,preference_change,medium,high,medium,0.9030970842075382,1.0,2.7999999999999994,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.31866666666667,1.0,1.0,28.0
SC-D-04,one_shot,preference_change,medium,high,medium,0.9030970842075382,1.0,2.7999999999999994,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.637,1.0,1.0,28.0
SC-D-04,profile_only,preference_change,medium,high,medium,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.0,1.0,1.0,1.0,1.0,2.0,22.230333333333334,0.0,0.75,21.0
SC-D-05,full,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.118333333333332,1.0,1.0,20.0
SC-D-05,no_context,preference_change,medium,high,high,0.8539316501572934,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,26.47866666666667,0.0,0.75,21.0
SC-D-05,no_memory,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,0.6669999999999999,0.0,0.0,0.0
SC-D-05,one_shot,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,0.7023333333333334,0.0,0.0,0.0
